     client:       0       1       2  total
        t_0: 3531.50 1500.00    0.00 5031.50
        t_1: 3541.00 1500.00    0.00 5041.00
        t_2: 1261.00 2198.00 1595.50 5054.50
        t_3:    0.00 1500.00 3570.50 5070.50
        t_4:    0.00 1500.00 3567.00 5067.00
        t_5: 1666.50 2197.00 1182.00 5045.50
        t_6:    0.00 1500.00 3566.50 5066.50
        t_7: 1861.50 1500.50 1684.00 5046.00
        t_8: 3536.50 1500.00    0.00 5036.50
        t_9: 1269.00 1500.00 2276.50 5045.50
       t_10: 3333.00 1623.50  104.50 5061.00
       t_11:    0.00 2069.00 2979.00 5048.00
       t_12:  232.50 1500.00 3350.50 5083.00
       t_13: 3552.00 1500.50    0.00 5052.50
       t_14: 1216.00 1500.00 2369.50 5085.50
       t_15: 3521.00 1500.00    1.50 5022.50
       t_16: 1478.50 2196.00 1373.00 5047.50
       t_17:    0.00 1500.00 3559.50 5059.50
       t_18: 2088.50 1500.00 1499.00 5087.50
       t_19: 1245.50 1500.50 2282.00 5028.00
       t_20: 3578.50 1500.00    1.50 5080.00
       t_21: 3087.50 1758.00  223.00 5068.50
       t_22:    0.00 1941.50 3144.00 5085.50
       t_23:  479.00 1500.00 3096.00 5075.00
       t_24: 1188.50 1500.00 2378.00 5066.50
       t_25: 3552.00 1500.00    2.00 5054.00
       t_26: 3556.00 1500.00    0.00 5056.00
       t_27: 1224.50 2198.50 1648.50 5071.50
       t_28:    0.00 1500.50 3581.00 5081.50
       t_29:    1.00 1500.00 3567.00 5068.00
       t_30: 3552.00 1500.00    2.00 5054.00
       t_31: 3577.50 1500.00    0.00 5077.50
       t_32: 1204.00 2198.50 1674.00 5076.50
       t_33:    0.00 1500.00 3559.00 5059.00
       t_34:    0.00 1500.50 3577.00 5077.50
       t_35: 1665.50 2198.00 1189.00 5052.50
       t_36:    0.00 1500.00 3584.00 5084.00
       t_37: 1890.50 1500.00 1692.50 5083.00
       t_38: 3562.00 1500.50    0.00 5062.50
       t_39: 1215.50 1500.00 2366.00 5081.50
       t_40: 3332.00 1633.50  115.00 5080.50
       t_41:    0.00 2061.00 2983.50 5044.50
       t_42:  247.00 2612.50 1656.50 4516.00
       t_43: 3549.50 1500.00    0.00 5049.50
       t_44: 1203.00 1612.00    0.00 2815.00
       t_45:    0.00    0.00    0.00    0.00
